Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7",0402,6,100nF,C1525
"C10, C9",0402,2,1uF,C52923
C2,0603,1,10uF,C19702
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",D_SOD-123,60,D_Small,C81598
J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04,C588524
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,59,MX_SW_solder,C5156480
"R3, R4",0402,2,5.1k,C25905
SW1,ROT_Alps_EC11E-Switch,1,RotaryEncoder_Switch,C470754
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
